case,mode,np,omp_threads,start,end,exit,log,controlDict,expected_iterations,log_exists,bad_markers,end_main,real,user,sys,iterations,collisions,candidates,particles,stuck,total_energy,move_collide,move,build_occ,collision_phase,post,full_evolve,openmp_enabled,openmp_threads_reported,migration_calls,migration_wall,dlb_checks,dlb_rebalances,dlb_triggered,dlb_wall_max,dlb_check_max,parmetis_max,dlb_migration_max,particles_rank_min,particles_rank_max,particles_rank_ratio,rank_wall_steps,rank_wall_min,rank_wall_max,rank_wall_ratio,correctness_ok
zb,OMP8,1,8,2026-06-22T05:47:07+08:00,2026-06-22T05:48:04+08:00,0,/home/superxcx/code/OpenFoam/OF-1706/hyStrath_dlb/doc/worklog/v2506/detail_mix/zb_4mode_300step_nowrite_migrate1_retest_20260622/logs/zb_OMP8.log,/home/superxcx/code/OpenFoam/OF-1706/hyStrath_dlb/doc/worklog/v2506/detail_mix/zb_4mode_300step_nowrite_migrate1_retest_20260622/controlDicts/zb_OMP8_controlDict,300,True,,True,57.07,433.02,2.81,300,242161,478299,1957936,0,0.001961964075,55.36342702,40.60390118,3.862415369,9.757217787,0.182531752,55.54758988,1,8,,,,,,,,,,,,,,,,,True
zb,MPI2xOMP4,2,4,2026-06-22T05:48:04+08:00,2026-06-22T05:49:19+08:00,0,/home/superxcx/code/OpenFoam/OF-1706/hyStrath_dlb/doc/worklog/v2506/detail_mix/zb_4mode_300step_nowrite_migrate1_retest_20260622/logs/zb_MPI2xOMP4.log,/home/superxcx/code/OpenFoam/OF-1706/hyStrath_dlb/doc/worklog/v2506/detail_mix/zb_4mode_300step_nowrite_migrate1_retest_20260622/controlDicts/zb_MPI2xOMP4_controlDict,300,True,,True,74.78,562.95,15.02,300,14886,22215,1957933,0,0.001962104281,74.781058,48.73085473,3.991869167,11.50944135,0.204444978,74.98744453,1,4,303,11.80943919,300,2,2,1.170693898,0.17571688,0.313072514,0.701051516,886833.0,1071100.0,1.207780946,300,268.98,270.2,1.004535653,True
zb,MPI4xOMP2,4,2,2026-06-22T05:49:20+08:00,2026-06-22T05:50:33+08:00,0,/home/superxcx/code/OpenFoam/OF-1706/hyStrath_dlb/doc/worklog/v2506/detail_mix/zb_4mode_300step_nowrite_migrate1_retest_20260622/logs/zb_MPI4xOMP2.log,/home/superxcx/code/OpenFoam/OF-1706/hyStrath_dlb/doc/worklog/v2506/detail_mix/zb_4mode_300step_nowrite_migrate1_retest_20260622/controlDicts/zb_MPI4xOMP2_controlDict,300,True,,True,72.75,528.09,26.68,300,7547,11902,1958083,0,0.00196232909,71.61534903,43.14450851,3.482537253,15.23530384,0.22571289,71.82583268,1,2,303,18.68266399,300,2,2,0.903693585,0.298882736,0.181947721,0.485608445,429619.0,575772.0,1.340192124,300,128.49,130.66,1.016888474,True
zb,MPI8,8,1,2026-06-22T05:50:33+08:00,2026-06-22T05:51:59+08:00,0,/home/superxcx/code/OpenFoam/OF-1706/hyStrath_dlb/doc/worklog/v2506/detail_mix/zb_4mode_300step_nowrite_migrate1_retest_20260622/logs/zb_MPI8.log,/home/superxcx/code/OpenFoam/OF-1706/hyStrath_dlb/doc/worklog/v2506/detail_mix/zb_4mode_300step_nowrite_migrate1_retest_20260622/controlDicts/zb_MPI8_controlDict,300,True,,True,85.51,625.21,64.94,300,42129,87729,1958861,0,0.00196163739,85.54926106,57.58805554,7.336070067,16.86111417,0.260608122,85.78979727,0,1,306,15.49958833,300,5,5,1.328713409,0.413631901,0.235218558,0.756554757,221629.0,269453.0,1.215784035,300,76.59,77.95,1.017756887,True
