case,mode,runs,ok_runs,real_mean,real_stdev,real_min,real_max,full_evolve_mean,full_evolve_stdev,full_evolve_min,full_evolve_max,move_collide_mean,move_collide_stdev,move_collide_min,move_collide_max,move_mean,move_stdev,move_min,move_max,build_occ_mean,build_occ_stdev,build_occ_min,build_occ_max,collision_phase_mean,collision_phase_stdev,collision_phase_min,collision_phase_max,post_mean,post_stdev,post_min,post_max,particles_mean,particles_stdev,particles_min,particles_max,collisions_mean,collisions_stdev,collisions_min,collisions_max,candidates_mean,candidates_stdev,candidates_min,candidates_max,total_energy_mean,total_energy_stdev,total_energy_min,total_energy_max,migration_wall_mean,migration_wall_stdev,migration_wall_min,migration_wall_max,particles_rank_ratio_mean,particles_rank_ratio_stdev,particles_rank_ratio_min,particles_rank_ratio_max,rank_wall_ratio_mean,rank_wall_ratio_stdev,rank_wall_ratio_min,rank_wall_ratio_max,dlb_rebalances_mean,dlb_rebalances_stdev,dlb_rebalances_min,dlb_rebalances_max,dlb_triggered_mean,dlb_triggered_stdev,dlb_triggered_min,dlb_triggered_max
zb,OMP8,1,1,57.07,0.0,57.07,57.07,55.54758988,0.0,55.54758988,55.54758988,55.36342702,0.0,55.36342702,55.36342702,40.60390118,0.0,40.60390118,40.60390118,3.862415369,0.0,3.862415369,3.862415369,9.757217787,0.0,9.757217787,9.757217787,0.182531752,0.0,0.182531752,0.182531752,1957936.0,0.0,1957936.0,1957936.0,242161.0,0.0,242161.0,242161.0,478299.0,0.0,478299.0,478299.0,0.001961964075,0.0,0.001961964075,0.001961964075,,,,,,,,,,,,,,,,,,,,
zb,MPI2xOMP4,1,1,74.78,0.0,74.78,74.78,74.98744453,0.0,74.98744453,74.98744453,74.781058,0.0,74.781058,74.781058,48.73085473,0.0,48.73085473,48.73085473,3.991869167,0.0,3.991869167,3.991869167,11.50944135,0.0,11.50944135,11.50944135,0.204444978,0.0,0.204444978,0.204444978,1957933.0,0.0,1957933.0,1957933.0,14886.0,0.0,14886.0,14886.0,22215.0,0.0,22215.0,22215.0,0.001962104281,0.0,0.001962104281,0.001962104281,11.80943919,0.0,11.80943919,11.80943919,1.207780946,0.0,1.207780946,1.207780946,1.004535653,0.0,1.004535653,1.004535653,2.0,0.0,2.0,2.0,2.0,0.0,2.0,2.0
zb,MPI4xOMP2,1,1,72.75,0.0,72.75,72.75,71.82583268,0.0,71.82583268,71.82583268,71.61534903,0.0,71.61534903,71.61534903,43.14450851,0.0,43.14450851,43.14450851,3.482537253,0.0,3.482537253,3.482537253,15.23530384,0.0,15.23530384,15.23530384,0.22571289,0.0,0.22571289,0.22571289,1958083.0,0.0,1958083.0,1958083.0,7547.0,0.0,7547.0,7547.0,11902.0,0.0,11902.0,11902.0,0.00196232909,0.0,0.00196232909,0.00196232909,18.68266399,0.0,18.68266399,18.68266399,1.340192124,0.0,1.340192124,1.340192124,1.016888474,0.0,1.016888474,1.016888474,2.0,0.0,2.0,2.0,2.0,0.0,2.0,2.0
zb,MPI8,1,1,85.51,0.0,85.51,85.51,85.78979727,0.0,85.78979727,85.78979727,85.54926106,0.0,85.54926106,85.54926106,57.58805554,0.0,57.58805554,57.58805554,7.336070067,0.0,7.336070067,7.336070067,16.86111417,0.0,16.86111417,16.86111417,0.260608122,0.0,0.260608122,0.260608122,1958861.0,0.0,1958861.0,1958861.0,42129.0,0.0,42129.0,42129.0,87729.0,0.0,87729.0,87729.0,0.00196163739,0.0,0.00196163739,0.00196163739,15.49958833,0.0,15.49958833,15.49958833,1.215784035,0.0,1.215784035,1.215784035,1.017756887,0.0,1.017756887,1.017756887,5.0,0.0,5.0,5.0,5.0,0.0,5.0,5.0
