case,mode,runs,ok_runs,real_mean,real_stdev,real_min,real_max,full_evolve_mean,full_evolve_stdev,full_evolve_min,full_evolve_max,move_collide_mean,move_collide_stdev,move_collide_min,move_collide_max,move_mean,move_stdev,move_min,move_max,build_occ_mean,build_occ_stdev,build_occ_min,build_occ_max,collision_phase_mean,collision_phase_stdev,collision_phase_min,collision_phase_max,post_mean,post_stdev,post_min,post_max,particles_mean,particles_stdev,particles_min,particles_max,collisions_mean,collisions_stdev,collisions_min,collisions_max,candidates_mean,candidates_stdev,candidates_min,candidates_max,total_energy_mean,total_energy_stdev,total_energy_min,total_energy_max,migration_wall_mean,migration_wall_stdev,migration_wall_min,migration_wall_max,particles_rank_ratio_mean,particles_rank_ratio_stdev,particles_rank_ratio_min,particles_rank_ratio_max,rank_wall_ratio_mean,rank_wall_ratio_stdev,rank_wall_ratio_min,rank_wall_ratio_max,dlb_rebalances_mean,dlb_rebalances_stdev,dlb_rebalances_min,dlb_rebalances_max,dlb_triggered_mean,dlb_triggered_stdev,dlb_triggered_min,dlb_triggered_max
zb,OMP8,1,1,58.05,0.0,58.05,58.05,55.23201767,0.0,55.23201767,55.23201767,55.04341517,0.0,55.04341517,55.04341517,41.69256902,0.0,41.69256902,41.69256902,3.815972816,0.0,3.815972816,3.815972816,8.35920593,0.0,8.35920593,8.35920593,0.187077105,0.0,0.187077105,0.187077105,1958148.0,0.0,1958148.0,1958148.0,240616.0,0.0,240616.0,240616.0,474418.0,0.0,474418.0,474418.0,0.001962561728,0.0,0.001962561728,0.001962561728,,,,,,,,,,,,,,,,,,,,
zb,MPI2xOMP4,1,1,66.3,0.0,66.3,66.3,63.66161099,0.0,63.66161099,63.66161099,63.46128154,0.0,63.46128154,63.46128154,41.04474805,0.0,41.04474805,41.04474805,3.433983658,0.0,3.433983658,3.433983658,8.91009204,0.0,8.91009204,8.91009204,0.198840725,0.0,0.198840725,0.198840725,1958190.0,0.0,1958190.0,1958190.0,225046.0,0.0,225046.0,225046.0,442630.0,0.0,442630.0,442630.0,0.00196256273,0.0,0.00196256273,0.00196256273,10.96277608,0.0,10.96277608,10.96277608,1.175636128,0.0,1.175636128,1.175636128,1.001246079,0.0,1.001246079,1.001246079,2.0,0.0,2.0,2.0,2.0,0.0,2.0,2.0
zb,MPI4xOMP2,1,1,68.03,0.0,68.03,68.03,66.95020516,0.0,66.95020516,66.95020516,66.73470236,0.0,66.73470236,66.73470236,44.66503881,0.0,44.66503881,44.66503881,3.502575392,0.0,3.502575392,3.502575392,14.74986307,0.0,14.74986307,14.74986307,0.22219343,0.0,0.22219343,0.22219343,1958168.0,0.0,1958168.0,1958168.0,7732.0,0.0,7732.0,7732.0,11197.0,0.0,11197.0,11197.0,0.001962184864,0.0,0.001962184864,0.001962184864,11.00141836,0.0,11.00141836,11.00141836,1.163066522,0.0,1.163066522,1.163066522,1.012951881,0.0,1.012951881,1.012951881,2.0,0.0,2.0,2.0,2.0,0.0,2.0,2.0
zb,MPI8,1,1,82.51,0.0,82.51,82.51,77.83186109,0.0,77.83186109,77.83186109,77.61722551,0.0,77.61722551,77.61722551,49.41412997,0.0,49.41412997,49.41412997,6.217424861,0.0,6.217424861,6.217424861,14.44852608,0.0,14.44852608,14.44852608,0.238584455,0.0,0.238584455,0.238584455,1958532.0,0.0,1958532.0,1958532.0,30293.0,0.0,30293.0,30293.0,53339.0,0.0,53339.0,53339.0,0.001961785041,0.0,0.001961785041,0.001961785041,22.07426469,0.0,22.07426469,22.07426469,1.21978066,0.0,1.21978066,1.21978066,1.018934577,0.0,1.018934577,1.018934577,5.0,0.0,5.0,5.0,5.0,0.0,5.0,5.0
