case,mode,np,omp_threads,start,end,exit,log,controlDict,expected_iterations,log_exists,bad_markers,end_main,real,user,sys,iterations,collisions,candidates,particles,stuck,total_energy,move_collide,move,build_occ,collision_phase,post,full_evolve,openmp_enabled,openmp_threads_reported,migration_calls,migration_wall,dlb_checks,dlb_rebalances,dlb_triggered,dlb_wall_max,dlb_check_max,parmetis_max,dlb_migration_max,particles_rank_min,particles_rank_max,particles_rank_ratio,rank_wall_steps,rank_wall_min,rank_wall_max,rank_wall_ratio,correctness_ok
zb,OMP8,1,8,2026-06-22T23:58:02+08:00,2026-06-22T23:59:00+08:00,0,/home/superxcx/code/OpenFoam/OF-1706/hyStrath_dlb/doc/worklog/v2506/detail_mix/zb_4mode_300step_fastrng_20260622_235800/logs/zb_OMP8.log,/home/superxcx/code/OpenFoam/OF-1706/hyStrath_dlb/doc/worklog/v2506/detail_mix/zb_4mode_300step_fastrng_20260622_235800/controlDicts/zb_OMP8_controlDict,300,True,,True,58.05,439.47,2.82,300,240616,474418,1958148,0,0.001962561728,55.04341517,41.69256902,3.815972816,8.35920593,0.187077105,55.23201767,1,8,,,,,,,,,,,,,,,,,True
zb,MPI2xOMP4,2,4,2026-06-22T23:59:00+08:00,2026-06-23T00:00:06+08:00,0,/home/superxcx/code/OpenFoam/OF-1706/hyStrath_dlb/doc/worklog/v2506/detail_mix/zb_4mode_300step_fastrng_20260622_235800/logs/zb_MPI2xOMP4.log,/home/superxcx/code/OpenFoam/OF-1706/hyStrath_dlb/doc/worklog/v2506/detail_mix/zb_4mode_300step_fastrng_20260622_235800/controlDicts/zb_MPI2xOMP4_controlDict,300,True,,True,66.3,490.81,8.51,300,225046,442630,1958190,0,0.00196256273,63.46128154,41.04474805,3.433983658,8.91009204,0.198840725,63.66161099,1,4,303,10.96277608,300,2,2,1.454793322,0.144807011,0.348304719,0.991090817,900054.0,1058136.0,1.175636128,300,232.73,233.02,1.001246079,True
zb,MPI4xOMP2,4,2,2026-06-23T00:00:07+08:00,2026-06-23T00:01:15+08:00,0,/home/superxcx/code/OpenFoam/OF-1706/hyStrath_dlb/doc/worklog/v2506/detail_mix/zb_4mode_300step_fastrng_20260622_235800/logs/zb_MPI4xOMP2.log,/home/superxcx/code/OpenFoam/OF-1706/hyStrath_dlb/doc/worklog/v2506/detail_mix/zb_4mode_300step_fastrng_20260622_235800/controlDicts/zb_MPI4xOMP2_controlDict,300,True,,True,68.03,508.62,24.34,300,7732,11197,1958168,0,0.001962184864,66.73470236,44.66503881,3.502575392,14.74986307,0.22219343,66.95020516,1,2,303,11.00141836,300,2,2,1.007940771,0.312459341,0.197881436,0.575311741,453778.0,527774.0,1.163066522,300,121.99,123.57,1.012951881,True
zb,MPI8,8,1,2026-06-23T00:01:16+08:00,2026-06-23T00:02:38+08:00,0,/home/superxcx/code/OpenFoam/OF-1706/hyStrath_dlb/doc/worklog/v2506/detail_mix/zb_4mode_300step_fastrng_20260622_235800/logs/zb_MPI8.log,/home/superxcx/code/OpenFoam/OF-1706/hyStrath_dlb/doc/worklog/v2506/detail_mix/zb_4mode_300step_fastrng_20260622_235800/controlDicts/zb_MPI8_controlDict,300,True,,True,82.51,578.69,65.96,300,30293,53339,1958532,0,0.001961785041,77.61722551,49.41412997,6.217424861,14.44852608,0.238584455,77.83186109,0,1,306,22.07426469,300,5,5,1.141894494,0.346755797,0.171243656,0.660702848,224583.0,273942.0,1.21978066,300,70.77,72.11,1.018934577,True
