case	mode	rep	np	omp_threads	start	end	exit	log	controlDict
zb	OMP8	2	1	8	2026-06-10T23:46:06+08:00	2026-06-10T23:47:06+08:00	0	/home/superxcx/code/OpenFoam/OF-1706/hyStrath_dlb/doc/worklog/v2506/detail_mix/repeat_nowrite_compute_20260610_parmetisfix_clean/logs/zb_OMP8_rep2.log	/home/superxcx/code/OpenFoam/OF-1706/hyStrath_dlb/doc/worklog/v2506/detail_mix/repeat_nowrite_compute_20260610_parmetisfix_clean/controlDicts/zb_OMP8_rep2_controlDict
zb	MPI2xOMP4	2	2	4	2026-06-10T23:47:06+08:00	2026-06-10T23:48:11+08:00	0	/home/superxcx/code/OpenFoam/OF-1706/hyStrath_dlb/doc/worklog/v2506/detail_mix/repeat_nowrite_compute_20260610_parmetisfix_clean/logs/zb_MPI2xOMP4_rep2.log	/home/superxcx/code/OpenFoam/OF-1706/hyStrath_dlb/doc/worklog/v2506/detail_mix/repeat_nowrite_compute_20260610_parmetisfix_clean/controlDicts/zb_MPI2xOMP4_rep2_controlDict
zb	MPI4xOMP2	2	4	2	2026-06-10T23:48:11+08:00	2026-06-10T23:49:18+08:00	0	/home/superxcx/code/OpenFoam/OF-1706/hyStrath_dlb/doc/worklog/v2506/detail_mix/repeat_nowrite_compute_20260610_parmetisfix_clean/logs/zb_MPI4xOMP2_rep2.log	/home/superxcx/code/OpenFoam/OF-1706/hyStrath_dlb/doc/worklog/v2506/detail_mix/repeat_nowrite_compute_20260610_parmetisfix_clean/controlDicts/zb_MPI4xOMP2_rep2_controlDict
zb	MPI8	2	8	1	2026-06-10T23:49:19+08:00	2026-06-10T23:50:40+08:00	0	/home/superxcx/code/OpenFoam/OF-1706/hyStrath_dlb/doc/worklog/v2506/detail_mix/repeat_nowrite_compute_20260610_parmetisfix_clean/logs/zb_MPI8_rep2.log	/home/superxcx/code/OpenFoam/OF-1706/hyStrath_dlb/doc/worklog/v2506/detail_mix/repeat_nowrite_compute_20260610_parmetisfix_clean/controlDicts/zb_MPI8_rep2_controlDict
ourmesh	OMP8	3	1	8	2026-06-10T23:50:40+08:00	2026-06-10T23:51:44+08:00	0	/home/superxcx/code/OpenFoam/OF-1706/hyStrath_dlb/doc/worklog/v2506/detail_mix/repeat_nowrite_compute_20260610_parmetisfix_clean/logs/ourmesh_OMP8_rep3.log	/home/superxcx/code/OpenFoam/OF-1706/hyStrath_dlb/doc/worklog/v2506/detail_mix/repeat_nowrite_compute_20260610_parmetisfix_clean/controlDicts/ourmesh_OMP8_rep3_controlDict
ourmesh	MPI2xOMP4	3	2	4	2026-06-10T23:51:44+08:00	2026-06-10T23:52:53+08:00	0	/home/superxcx/code/OpenFoam/OF-1706/hyStrath_dlb/doc/worklog/v2506/detail_mix/repeat_nowrite_compute_20260610_parmetisfix_clean/logs/ourmesh_MPI2xOMP4_rep3.log	/home/superxcx/code/OpenFoam/OF-1706/hyStrath_dlb/doc/worklog/v2506/detail_mix/repeat_nowrite_compute_20260610_parmetisfix_clean/controlDicts/ourmesh_MPI2xOMP4_rep3_controlDict
ourmesh	MPI4xOMP2	3	4	2	2026-06-10T23:52:53+08:00	2026-06-10T23:54:04+08:00	0	/home/superxcx/code/OpenFoam/OF-1706/hyStrath_dlb/doc/worklog/v2506/detail_mix/repeat_nowrite_compute_20260610_parmetisfix_clean/logs/ourmesh_MPI4xOMP2_rep3.log	/home/superxcx/code/OpenFoam/OF-1706/hyStrath_dlb/doc/worklog/v2506/detail_mix/repeat_nowrite_compute_20260610_parmetisfix_clean/controlDicts/ourmesh_MPI4xOMP2_rep3_controlDict
ourmesh	MPI8	3	8	1	2026-06-10T23:54:04+08:00	2026-06-10T23:55:47+08:00	0	/home/superxcx/code/OpenFoam/OF-1706/hyStrath_dlb/doc/worklog/v2506/detail_mix/repeat_nowrite_compute_20260610_parmetisfix_clean/logs/ourmesh_MPI8_rep3.log	/home/superxcx/code/OpenFoam/OF-1706/hyStrath_dlb/doc/worklog/v2506/detail_mix/repeat_nowrite_compute_20260610_parmetisfix_clean/controlDicts/ourmesh_MPI8_rep3_controlDict
zb	OMP8	3	1	8	2026-06-10T23:55:47+08:00	2026-06-10T23:56:46+08:00	0	/home/superxcx/code/OpenFoam/OF-1706/hyStrath_dlb/doc/worklog/v2506/detail_mix/repeat_nowrite_compute_20260610_parmetisfix_clean/logs/zb_OMP8_rep3.log	/home/superxcx/code/OpenFoam/OF-1706/hyStrath_dlb/doc/worklog/v2506/detail_mix/repeat_nowrite_compute_20260610_parmetisfix_clean/controlDicts/zb_OMP8_rep3_controlDict
zb	MPI2xOMP4	3	2	4	2026-06-10T23:56:46+08:00	2026-06-10T23:57:49+08:00	0	/home/superxcx/code/OpenFoam/OF-1706/hyStrath_dlb/doc/worklog/v2506/detail_mix/repeat_nowrite_compute_20260610_parmetisfix_clean/logs/zb_MPI2xOMP4_rep3.log	/home/superxcx/code/OpenFoam/OF-1706/hyStrath_dlb/doc/worklog/v2506/detail_mix/repeat_nowrite_compute_20260610_parmetisfix_clean/controlDicts/zb_MPI2xOMP4_rep3_controlDict
zb	MPI4xOMP2	3	4	2	2026-06-10T23:57:49+08:00	2026-06-10T23:58:57+08:00	0	/home/superxcx/code/OpenFoam/OF-1706/hyStrath_dlb/doc/worklog/v2506/detail_mix/repeat_nowrite_compute_20260610_parmetisfix_clean/logs/zb_MPI4xOMP2_rep3.log	/home/superxcx/code/OpenFoam/OF-1706/hyStrath_dlb/doc/worklog/v2506/detail_mix/repeat_nowrite_compute_20260610_parmetisfix_clean/controlDicts/zb_MPI4xOMP2_rep3_controlDict
zb	MPI8	3	8	1	2026-06-10T23:58:57+08:00	2026-06-11T00:00:17+08:00	0	/home/superxcx/code/OpenFoam/OF-1706/hyStrath_dlb/doc/worklog/v2506/detail_mix/repeat_nowrite_compute_20260610_parmetisfix_clean/logs/zb_MPI8_rep3.log	/home/superxcx/code/OpenFoam/OF-1706/hyStrath_dlb/doc/worklog/v2506/detail_mix/repeat_nowrite_compute_20260610_parmetisfix_clean/controlDicts/zb_MPI8_rep3_controlDict
ourmesh	MPI8origin	1	8	1	2026-06-11T00:00:18+08:00	2026-06-11T00:02:35+08:00	0	/home/superxcx/code/OpenFoam/OF-1706/hyStrath_dlb/doc/worklog/v2506/detail_mix/repeat_nowrite_compute_20260610_parmetisfix_clean/logs/ourmesh_MPI8origin_rep1.log	/home/superxcx/code/OpenFoam/OF-1706/hyStrath_dlb/doc/worklog/v2506/detail_mix/repeat_nowrite_compute_20260610_parmetisfix_clean/controlDicts/ourmesh_MPI8origin_rep1_controlDict
ourmesh	MPI8origin	2	8	1	2026-06-11T00:02:35+08:00	2026-06-11T00:04:48+08:00	0	/home/superxcx/code/OpenFoam/OF-1706/hyStrath_dlb/doc/worklog/v2506/detail_mix/repeat_nowrite_compute_20260610_parmetisfix_clean/logs/ourmesh_MPI8origin_rep2.log	/home/superxcx/code/OpenFoam/OF-1706/hyStrath_dlb/doc/worklog/v2506/detail_mix/repeat_nowrite_compute_20260610_parmetisfix_clean/controlDicts/ourmesh_MPI8origin_rep2_controlDict
ourmesh	MPI8origin	3	8	1	2026-06-11T00:04:48+08:00	2026-06-11T00:07:04+08:00	0	/home/superxcx/code/OpenFoam/OF-1706/hyStrath_dlb/doc/worklog/v2506/detail_mix/repeat_nowrite_compute_20260610_parmetisfix_clean/logs/ourmesh_MPI8origin_rep3.log	/home/superxcx/code/OpenFoam/OF-1706/hyStrath_dlb/doc/worklog/v2506/detail_mix/repeat_nowrite_compute_20260610_parmetisfix_clean/controlDicts/ourmesh_MPI8origin_rep3_controlDict
zb	MPI8origin	1	8	1	2026-06-11T00:07:05+08:00	2026-06-11T00:09:01+08:00	0	/home/superxcx/code/OpenFoam/OF-1706/hyStrath_dlb/doc/worklog/v2506/detail_mix/repeat_nowrite_compute_20260610_parmetisfix_clean/logs/zb_MPI8origin_rep1.log	/home/superxcx/code/OpenFoam/OF-1706/hyStrath_dlb/doc/worklog/v2506/detail_mix/repeat_nowrite_compute_20260610_parmetisfix_clean/controlDicts/zb_MPI8origin_rep1_controlDict
zb	MPI8origin	2	8	1	2026-06-11T00:09:01+08:00	2026-06-11T00:10:54+08:00	0	/home/superxcx/code/OpenFoam/OF-1706/hyStrath_dlb/doc/worklog/v2506/detail_mix/repeat_nowrite_compute_20260610_parmetisfix_clean/logs/zb_MPI8origin_rep2.log	/home/superxcx/code/OpenFoam/OF-1706/hyStrath_dlb/doc/worklog/v2506/detail_mix/repeat_nowrite_compute_20260610_parmetisfix_clean/controlDicts/zb_MPI8origin_rep2_controlDict
zb	MPI8origin	3	8	1	2026-06-11T00:10:54+08:00	2026-06-11T00:12:50+08:00	0	/home/superxcx/code/OpenFoam/OF-1706/hyStrath_dlb/doc/worklog/v2506/detail_mix/repeat_nowrite_compute_20260610_parmetisfix_clean/logs/zb_MPI8origin_rep3.log	/home/superxcx/code/OpenFoam/OF-1706/hyStrath_dlb/doc/worklog/v2506/detail_mix/repeat_nowrite_compute_20260610_parmetisfix_clean/controlDicts/zb_MPI8origin_rep3_controlDict
