case	mode	rep	np	omp_threads	start	end	exit	log	controlDict
zb	MPI2xOMP4	2	2	4	2026-06-10T02:50:26+08:00	2026-06-10T02:51:46+08:00	0	/home/superxcx/code/OpenFoam/OF-1706/hyStrath_dlb/doc/worklog/v2506/detail_mix/repeat_nowrite_compute_20260610_rerun/logs/zb_MPI2xOMP4_rep2.log	/home/superxcx/code/OpenFoam/OF-1706/hyStrath_dlb/doc/worklog/v2506/detail_mix/repeat_nowrite_compute_20260610_rerun/controlDicts/zb_MPI2xOMP4_rep2_controlDict
zb	MPI4xOMP2	2	4	2	2026-06-10T02:51:46+08:00	2026-06-10T02:53:03+08:00	0	/home/superxcx/code/OpenFoam/OF-1706/hyStrath_dlb/doc/worklog/v2506/detail_mix/repeat_nowrite_compute_20260610_rerun/logs/zb_MPI4xOMP2_rep2.log	/home/superxcx/code/OpenFoam/OF-1706/hyStrath_dlb/doc/worklog/v2506/detail_mix/repeat_nowrite_compute_20260610_rerun/controlDicts/zb_MPI4xOMP2_rep2_controlDict
zb	MPI8	2	8	1	2026-06-10T02:53:03+08:00	2026-06-10T02:54:51+08:00	0	/home/superxcx/code/OpenFoam/OF-1706/hyStrath_dlb/doc/worklog/v2506/detail_mix/repeat_nowrite_compute_20260610_rerun/logs/zb_MPI8_rep2.log	/home/superxcx/code/OpenFoam/OF-1706/hyStrath_dlb/doc/worklog/v2506/detail_mix/repeat_nowrite_compute_20260610_rerun/controlDicts/zb_MPI8_rep2_controlDict
ourmesh	OMP8	3	1	8	2026-06-10T02:54:51+08:00	2026-06-10T02:56:18+08:00	0	/home/superxcx/code/OpenFoam/OF-1706/hyStrath_dlb/doc/worklog/v2506/detail_mix/repeat_nowrite_compute_20260610_rerun/logs/ourmesh_OMP8_rep3.log	/home/superxcx/code/OpenFoam/OF-1706/hyStrath_dlb/doc/worklog/v2506/detail_mix/repeat_nowrite_compute_20260610_rerun/controlDicts/ourmesh_OMP8_rep3_controlDict
ourmesh	MPI2xOMP4	3	2	4	2026-06-10T02:56:18+08:00	2026-06-10T02:57:50+08:00	0	/home/superxcx/code/OpenFoam/OF-1706/hyStrath_dlb/doc/worklog/v2506/detail_mix/repeat_nowrite_compute_20260610_rerun/logs/ourmesh_MPI2xOMP4_rep3.log	/home/superxcx/code/OpenFoam/OF-1706/hyStrath_dlb/doc/worklog/v2506/detail_mix/repeat_nowrite_compute_20260610_rerun/controlDicts/ourmesh_MPI2xOMP4_rep3_controlDict
ourmesh	MPI4xOMP2	3	4	2	2026-06-10T02:57:50+08:00	2026-06-10T02:59:25+08:00	0	/home/superxcx/code/OpenFoam/OF-1706/hyStrath_dlb/doc/worklog/v2506/detail_mix/repeat_nowrite_compute_20260610_rerun/logs/ourmesh_MPI4xOMP2_rep3.log	/home/superxcx/code/OpenFoam/OF-1706/hyStrath_dlb/doc/worklog/v2506/detail_mix/repeat_nowrite_compute_20260610_rerun/controlDicts/ourmesh_MPI4xOMP2_rep3_controlDict
ourmesh	MPI8	3	8	1	2026-06-10T02:59:25+08:00	2026-06-10T03:01:19+08:00	0	/home/superxcx/code/OpenFoam/OF-1706/hyStrath_dlb/doc/worklog/v2506/detail_mix/repeat_nowrite_compute_20260610_rerun/logs/ourmesh_MPI8_rep3.log	/home/superxcx/code/OpenFoam/OF-1706/hyStrath_dlb/doc/worklog/v2506/detail_mix/repeat_nowrite_compute_20260610_rerun/controlDicts/ourmesh_MPI8_rep3_controlDict
zb	OMP8	3	1	8	2026-06-10T03:01:19+08:00	2026-06-10T03:02:33+08:00	0	/home/superxcx/code/OpenFoam/OF-1706/hyStrath_dlb/doc/worklog/v2506/detail_mix/repeat_nowrite_compute_20260610_rerun/logs/zb_OMP8_rep3.log	/home/superxcx/code/OpenFoam/OF-1706/hyStrath_dlb/doc/worklog/v2506/detail_mix/repeat_nowrite_compute_20260610_rerun/controlDicts/zb_OMP8_rep3_controlDict
zb	MPI2xOMP4	3	2	4	2026-06-10T03:02:33+08:00	2026-06-10T03:03:52+08:00	0	/home/superxcx/code/OpenFoam/OF-1706/hyStrath_dlb/doc/worklog/v2506/detail_mix/repeat_nowrite_compute_20260610_rerun/logs/zb_MPI2xOMP4_rep3.log	/home/superxcx/code/OpenFoam/OF-1706/hyStrath_dlb/doc/worklog/v2506/detail_mix/repeat_nowrite_compute_20260610_rerun/controlDicts/zb_MPI2xOMP4_rep3_controlDict
zb	MPI4xOMP2	3	4	2	2026-06-10T03:03:52+08:00	2026-06-10T03:05:11+08:00	0	/home/superxcx/code/OpenFoam/OF-1706/hyStrath_dlb/doc/worklog/v2506/detail_mix/repeat_nowrite_compute_20260610_rerun/logs/zb_MPI4xOMP2_rep3.log	/home/superxcx/code/OpenFoam/OF-1706/hyStrath_dlb/doc/worklog/v2506/detail_mix/repeat_nowrite_compute_20260610_rerun/controlDicts/zb_MPI4xOMP2_rep3_controlDict
zb	MPI8	3	8	1	2026-06-10T03:05:11+08:00	2026-06-10T03:06:46+08:00	0	/home/superxcx/code/OpenFoam/OF-1706/hyStrath_dlb/doc/worklog/v2506/detail_mix/repeat_nowrite_compute_20260610_rerun/logs/zb_MPI8_rep3.log	/home/superxcx/code/OpenFoam/OF-1706/hyStrath_dlb/doc/worklog/v2506/detail_mix/repeat_nowrite_compute_20260610_rerun/controlDicts/zb_MPI8_rep3_controlDict
ourmesh	MPI8origin	1	8	1	2026-06-10T03:08:06+08:00	2026-06-10T03:10:35+08:00	0	/home/superxcx/code/OpenFoam/OF-1706/hyStrath_dlb/doc/worklog/v2506/detail_mix/repeat_nowrite_compute_20260610_rerun/logs/ourmesh_MPI8origin_rep1.log	/home/superxcx/code/OpenFoam/OF-1706/hyStrath_dlb/doc/worklog/v2506/detail_mix/repeat_nowrite_compute_20260610_rerun/controlDicts/ourmesh_MPI8origin_rep1_controlDict
ourmesh	MPI8origin	2	8	1	2026-06-10T03:10:35+08:00	2026-06-10T03:13:02+08:00	0	/home/superxcx/code/OpenFoam/OF-1706/hyStrath_dlb/doc/worklog/v2506/detail_mix/repeat_nowrite_compute_20260610_rerun/logs/ourmesh_MPI8origin_rep2.log	/home/superxcx/code/OpenFoam/OF-1706/hyStrath_dlb/doc/worklog/v2506/detail_mix/repeat_nowrite_compute_20260610_rerun/controlDicts/ourmesh_MPI8origin_rep2_controlDict
ourmesh	MPI8origin	3	8	1	2026-06-10T03:13:02+08:00	2026-06-10T03:15:30+08:00	0	/home/superxcx/code/OpenFoam/OF-1706/hyStrath_dlb/doc/worklog/v2506/detail_mix/repeat_nowrite_compute_20260610_rerun/logs/ourmesh_MPI8origin_rep3.log	/home/superxcx/code/OpenFoam/OF-1706/hyStrath_dlb/doc/worklog/v2506/detail_mix/repeat_nowrite_compute_20260610_rerun/controlDicts/ourmesh_MPI8origin_rep3_controlDict
zb	MPI8origin	1	8	1	2026-06-10T04:15:53+08:00	2026-06-10T04:18:02+08:00	0	/home/superxcx/code/OpenFoam/OF-1706/hyStrath_dlb/doc/worklog/v2506/detail_mix/repeat_nowrite_compute_20260610_rerun/logs/zb_MPI8origin_rep1.log	/home/superxcx/code/OpenFoam/OF-1706/hyStrath_dlb/doc/worklog/v2506/detail_mix/repeat_nowrite_compute_20260610_rerun/controlDicts/zb_MPI8origin_rep1_controlDict
zb	MPI8origin	2	8	1	2026-06-10T04:18:02+08:00	2026-06-10T04:20:13+08:00	0	/home/superxcx/code/OpenFoam/OF-1706/hyStrath_dlb/doc/worklog/v2506/detail_mix/repeat_nowrite_compute_20260610_rerun/logs/zb_MPI8origin_rep2.log	/home/superxcx/code/OpenFoam/OF-1706/hyStrath_dlb/doc/worklog/v2506/detail_mix/repeat_nowrite_compute_20260610_rerun/controlDicts/zb_MPI8origin_rep2_controlDict
zb	MPI8origin	3	8	1	2026-06-10T04:20:13+08:00	2026-06-10T04:22:22+08:00	0	/home/superxcx/code/OpenFoam/OF-1706/hyStrath_dlb/doc/worklog/v2506/detail_mix/repeat_nowrite_compute_20260610_rerun/logs/zb_MPI8origin_rep3.log	/home/superxcx/code/OpenFoam/OF-1706/hyStrath_dlb/doc/worklog/v2506/detail_mix/repeat_nowrite_compute_20260610_rerun/controlDicts/zb_MPI8origin_rep3_controlDict
