case,mode,runs,ok_runs,real_mean,real_stdev,real_min,real_max,full_evolve_mean,full_evolve_stdev,full_evolve_min,full_evolve_max,move_collide_mean,move_collide_stdev,move_collide_min,move_collide_max,move_mean,move_stdev,move_min,move_max,build_occ_mean,build_occ_stdev,build_occ_min,build_occ_max,collision_phase_mean,collision_phase_stdev,collision_phase_min,collision_phase_max,post_mean,post_stdev,post_min,post_max,particles_mean,particles_stdev,particles_min,particles_max,collisions_mean,collisions_stdev,collisions_min,collisions_max,candidates_mean,candidates_stdev,candidates_min,candidates_max,total_energy_mean,total_energy_stdev,total_energy_min,total_energy_max,migration_wall_mean,migration_wall_stdev,migration_wall_min,migration_wall_max,particles_rank_ratio_mean,particles_rank_ratio_stdev,particles_rank_ratio_min,particles_rank_ratio_max,rank_wall_ratio_mean,rank_wall_ratio_stdev,rank_wall_ratio_min,rank_wall_ratio_max,dlb_rebalances_mean,dlb_rebalances_stdev,dlb_rebalances_min,dlb_rebalances_max,dlb_triggered_mean,dlb_triggered_stdev,dlb_triggered_min,dlb_triggered_max
zb,OMP8,1,1,59.54,0.0,59.54,59.54,57.63115134,0.0,57.63115134,57.63115134,57.44313582,0.0,57.44313582,57.44313582,42.42933477,0.0,42.42933477,42.42933477,3.865719806,0.0,3.865719806,3.865719806,9.946084357,0.0,9.946084357,9.946084357,0.186393396,0.0,0.186393396,0.186393396,1957589.0,0.0,1957589.0,1957589.0,241550.0,0.0,241550.0,241550.0,477780.0,0.0,477780.0,477780.0,0.001961439349,0.0,0.001961439349,0.001961439349,,,,,,,,,,,,,,,,,,,,
zb,MPI2xOMP4,1,1,69.68,0.0,69.68,69.68,69.53273088,0.0,69.53273088,69.53273088,69.33156483,0.0,69.33156483,69.33156483,47.08552764,0.0,47.08552764,47.08552764,3.881091147,0.0,3.881091147,3.881091147,14.01859527,0.0,14.01859527,14.01859527,0.199383488,0.0,0.199383488,0.199383488,1958597.0,0.0,1958597.0,1958597.0,227249.0,0.0,227249.0,227249.0,453192.0,0.0,453192.0,453192.0,0.001962922913,0.0,0.001962922913,0.001962922913,9.398887943,0.0,9.398887943,9.398887943,1.212269042,0.0,1.212269042,1.212269042,1.013636182,0.0,1.013636182,1.013636182,2.0,0.0,2.0,2.0,2.0,0.0,2.0,2.0
zb,MPI4xOMP2,1,1,74.94,0.0,74.94,74.94,72.95704877,0.0,72.95704877,72.95704877,72.70172788,0.0,72.70172788,72.70172788,50.47179903,0.0,50.47179903,50.47179903,3.783466216,0.0,3.783466216,3.783466216,10.16495652,0.0,10.16495652,10.16495652,0.269471949,0.0,0.269471949,0.269471949,1957618.0,0.0,1957618.0,1957618.0,7932.0,0.0,7932.0,7932.0,11713.0,0.0,11713.0,11713.0,0.001961459506,0.0,0.001961459506,0.001961459506,17.42757121,0.0,17.42757121,17.42757121,1.074126627,0.0,1.074126627,1.074126627,1.008923124,0.0,1.008923124,1.008923124,2.0,0.0,2.0,2.0,2.0,0.0,2.0,2.0
zb,MPI8,1,1,92.92,0.0,92.92,92.92,92.70233654,0.0,92.70233654,92.70233654,92.48092771,0.0,92.48092771,92.48092771,55.55172837,0.0,55.55172837,55.55172837,7.837156183,0.0,7.837156183,7.837156183,19.926824,0.0,19.926824,19.926824,0.249370892,0.0,0.249370892,0.249370892,1958052.0,0.0,1958052.0,1958052.0,12817.0,0.0,12817.0,12817.0,21847.0,0.0,21847.0,21847.0,0.001962191809,0.0,0.001962191809,0.001962191809,24.83952715,0.0,24.83952715,24.83952715,1.292696764,0.0,1.292696764,1.292696764,1.022407946,0.0,1.022407946,1.022407946,5.0,0.0,5.0,5.0,5.0,0.0,5.0,5.0
