case	mode	np	omp_threads	start	end	exit	log	controlDict
zb	OMP8	1	8	2026-06-22T02:35:34+08:00	2026-06-22T02:36:33+08:00	0	/home/superxcx/code/OpenFoam/OF-1706/hyStrath_dlb/doc/worklog/v2506/detail_mix/zb_4mode_300step_moveordered_20260622/logs/zb_OMP8.log	/home/superxcx/code/OpenFoam/OF-1706/hyStrath_dlb/doc/worklog/v2506/detail_mix/zb_4mode_300step_moveordered_20260622/controlDicts/zb_OMP8_controlDict
zb	MPI2xOMP4	2	4	2026-06-22T02:36:34+08:00	2026-06-22T02:37:43+08:00	0	/home/superxcx/code/OpenFoam/OF-1706/hyStrath_dlb/doc/worklog/v2506/detail_mix/zb_4mode_300step_moveordered_20260622/logs/zb_MPI2xOMP4.log	/home/superxcx/code/OpenFoam/OF-1706/hyStrath_dlb/doc/worklog/v2506/detail_mix/zb_4mode_300step_moveordered_20260622/controlDicts/zb_MPI2xOMP4_controlDict
zb	MPI4xOMP2	4	2	2026-06-22T02:37:44+08:00	2026-06-22T02:38:59+08:00	0	/home/superxcx/code/OpenFoam/OF-1706/hyStrath_dlb/doc/worklog/v2506/detail_mix/zb_4mode_300step_moveordered_20260622/logs/zb_MPI4xOMP2.log	/home/superxcx/code/OpenFoam/OF-1706/hyStrath_dlb/doc/worklog/v2506/detail_mix/zb_4mode_300step_moveordered_20260622/controlDicts/zb_MPI4xOMP2_controlDict
zb	MPI8	8	1	2026-06-22T02:39:01+08:00	2026-06-22T02:40:34+08:00	0	/home/superxcx/code/OpenFoam/OF-1706/hyStrath_dlb/doc/worklog/v2506/detail_mix/zb_4mode_300step_moveordered_20260622/logs/zb_MPI8.log	/home/superxcx/code/OpenFoam/OF-1706/hyStrath_dlb/doc/worklog/v2506/detail_mix/zb_4mode_300step_moveordered_20260622/controlDicts/zb_MPI8_controlDict
