case,mode,np,omp_threads,start,end,exit,log,controlDict,expected_iterations,log_exists,bad_markers,end_main,real,user,sys,iterations,collisions,candidates,particles,stuck,total_energy,move_collide,move,build_occ,collision_phase,post,full_evolve,openmp_enabled,openmp_threads_reported,migration_calls,migration_wall,dlb_checks,dlb_rebalances,dlb_triggered,dlb_wall_max,dlb_check_max,parmetis_max,dlb_migration_max,particles_rank_min,particles_rank_max,particles_rank_ratio,rank_wall_steps,rank_wall_min,rank_wall_max,rank_wall_ratio,correctness_ok
zb,OMP8,1,8,2026-06-22T02:35:34+08:00,2026-06-22T02:36:33+08:00,0,/home/superxcx/code/OpenFoam/OF-1706/hyStrath_dlb/doc/worklog/v2506/detail_mix/zb_4mode_300step_moveordered_20260622/logs/zb_OMP8.log,/home/superxcx/code/OpenFoam/OF-1706/hyStrath_dlb/doc/worklog/v2506/detail_mix/zb_4mode_300step_moveordered_20260622/controlDicts/zb_OMP8_controlDict,300,True,,True,59.54,450.01,3.09,300,241550,477780,1957589,0,0.001961439349,57.44313582,42.42933477,3.865719806,9.946084357,0.186393396,57.63115134,1,8,,,,,,,,,,,,,,,,,True
zb,MPI2xOMP4,2,4,2026-06-22T02:36:34+08:00,2026-06-22T02:37:43+08:00,0,/home/superxcx/code/OpenFoam/OF-1706/hyStrath_dlb/doc/worklog/v2506/detail_mix/zb_4mode_300step_moveordered_20260622/logs/zb_MPI2xOMP4.log,/home/superxcx/code/OpenFoam/OF-1706/hyStrath_dlb/doc/worklog/v2506/detail_mix/zb_4mode_300step_moveordered_20260622/controlDicts/zb_MPI2xOMP4_controlDict,300,True,,True,69.68,536.35,8.12,300,227249,453192,1958597,0,0.001962922913,69.33156483,47.08552764,3.881091147,14.01859527,0.199383488,69.53273088,1,4,303,9.398887943,300,2,2,0.702137689,0.246124473,0.390092968,0.190614843,885334.0,1073263.0,1.212269042,300,250.07,253.48,1.013636182,True
zb,MPI4xOMP2,4,2,2026-06-22T02:37:44+08:00,2026-06-22T02:38:59+08:00,0,/home/superxcx/code/OpenFoam/OF-1706/hyStrath_dlb/doc/worklog/v2506/detail_mix/zb_4mode_300step_moveordered_20260622/logs/zb_MPI4xOMP2.log,/home/superxcx/code/OpenFoam/OF-1706/hyStrath_dlb/doc/worklog/v2506/detail_mix/zb_4mode_300step_moveordered_20260622/controlDicts/zb_MPI4xOMP2_controlDict,300,True,,True,74.94,542.45,25.38,300,7932,11713,1957618,0,0.001961459506,72.70172788,50.47179903,3.783466216,10.16495652,0.269471949,72.95704877,1,2,303,17.42757121,300,2,2,1.102738815,0.272653397,0.211732187,0.708194761,473595.0,508701.0,1.074126627,300,131.12,132.29,1.008923124,True
zb,MPI8,8,1,2026-06-22T02:39:01+08:00,2026-06-22T02:40:34+08:00,0,/home/superxcx/code/OpenFoam/OF-1706/hyStrath_dlb/doc/worklog/v2506/detail_mix/zb_4mode_300step_moveordered_20260622/logs/zb_MPI8.log,/home/superxcx/code/OpenFoam/OF-1706/hyStrath_dlb/doc/worklog/v2506/detail_mix/zb_4mode_300step_moveordered_20260622/controlDicts/zb_MPI8_controlDict,300,True,,True,92.92,669.41,74.25,300,12817,21847,1958052,0,0.001962191809,92.48092771,55.55172837,7.837156183,19.926824,0.249370892,92.70233654,0,1,306,24.83952715,300,5,5,1.214484811,0.347301767,0.210068035,0.728911999,216808.0,280267.0,1.292696764,300,82.56,84.41,1.022407946,True
