case	mode	np	omp_threads	start	end	exit	log	controlDict
zb	OMP8	1	8	2026-06-21T03:25:48+08:00	2026-06-21T03:26:51+08:00	0	/home/superxcx/code/OpenFoam/OF-1706/hyStrath_dlb/doc/worklog/v2506/detail_mix/zb_perf_cache_repair_single_20260621/logs/zb_OMP8.log	/home/superxcx/code/OpenFoam/OF-1706/hyStrath_dlb/doc/worklog/v2506/detail_mix/zb_perf_cache_repair_single_20260621/controlDicts/zb_OMP8_controlDict
zb	MPI2xOMP4	2	4	2026-06-21T03:26:51+08:00	2026-06-21T03:27:56+08:00	0	/home/superxcx/code/OpenFoam/OF-1706/hyStrath_dlb/doc/worklog/v2506/detail_mix/zb_perf_cache_repair_single_20260621/logs/zb_MPI2xOMP4.log	/home/superxcx/code/OpenFoam/OF-1706/hyStrath_dlb/doc/worklog/v2506/detail_mix/zb_perf_cache_repair_single_20260621/controlDicts/zb_MPI2xOMP4_controlDict
zb	MPI4xOMP2	4	2	2026-06-21T03:27:56+08:00	2026-06-21T03:29:02+08:00	0	/home/superxcx/code/OpenFoam/OF-1706/hyStrath_dlb/doc/worklog/v2506/detail_mix/zb_perf_cache_repair_single_20260621/logs/zb_MPI4xOMP2.log	/home/superxcx/code/OpenFoam/OF-1706/hyStrath_dlb/doc/worklog/v2506/detail_mix/zb_perf_cache_repair_single_20260621/controlDicts/zb_MPI4xOMP2_controlDict
zb	MPI8	8	1	2026-06-21T03:29:03+08:00	2026-06-21T03:30:26+08:00	0	/home/superxcx/code/OpenFoam/OF-1706/hyStrath_dlb/doc/worklog/v2506/detail_mix/zb_perf_cache_repair_single_20260621/logs/zb_MPI8.log	/home/superxcx/code/OpenFoam/OF-1706/hyStrath_dlb/doc/worklog/v2506/detail_mix/zb_perf_cache_repair_single_20260621/controlDicts/zb_MPI8_controlDict
zb	MPI8origin	8	1	2026-06-21T03:30:26+08:00	2026-06-21T03:32:23+08:00	0	/home/superxcx/code/OpenFoam/OF-1706/hyStrath_dlb/doc/worklog/v2506/detail_mix/zb_perf_cache_repair_single_20260621/logs/zb_MPI8origin.log	/home/superxcx/code/OpenFoam/OF-1706/hyStrath_dlb/doc/worklog/v2506/detail_mix/zb_perf_cache_repair_single_20260621/controlDicts/zb_MPI8origin_controlDict
