group	moveSchedule	moveChunk	collisionSchedule	collisionChunk	exitCode	elapsedSeconds	log	controlDict
collisionSweep	static	64	static	8	0	83	/home/superxcx/code/OpenFoam/OF-1706/hyStrath_dlb/run/hyStrath/dsmcFoam+/xcx_test/zb-cylinder-react/omp8/schedule_sweep_stage26_20260606/log.codex_zb_collisionSweep_move-static-64_coll-static-8_300step_20260606	/home/superxcx/code/OpenFoam/OF-1706/hyStrath_dlb/run/hyStrath/dsmcFoam+/xcx_test/zb-cylinder-react/omp8/schedule_sweep_stage26_20260606/controlDict.collisionSweep_move-static-64_coll-static-8
collisionSweep	static	64	static	16	0	80	/home/superxcx/code/OpenFoam/OF-1706/hyStrath_dlb/run/hyStrath/dsmcFoam+/xcx_test/zb-cylinder-react/omp8/schedule_sweep_stage26_20260606/log.codex_zb_collisionSweep_move-static-64_coll-static-16_300step_20260606	/home/superxcx/code/OpenFoam/OF-1706/hyStrath_dlb/run/hyStrath/dsmcFoam+/xcx_test/zb-cylinder-react/omp8/schedule_sweep_stage26_20260606/controlDict.collisionSweep_move-static-64_coll-static-16
collisionSweep	static	64	static	32	0	84	/home/superxcx/code/OpenFoam/OF-1706/hyStrath_dlb/run/hyStrath/dsmcFoam+/xcx_test/zb-cylinder-react/omp8/schedule_sweep_stage26_20260606/log.codex_zb_collisionSweep_move-static-64_coll-static-32_300step_20260606	/home/superxcx/code/OpenFoam/OF-1706/hyStrath_dlb/run/hyStrath/dsmcFoam+/xcx_test/zb-cylinder-react/omp8/schedule_sweep_stage26_20260606/controlDict.collisionSweep_move-static-64_coll-static-32
collisionSweep	static	64	static	64	0	82	/home/superxcx/code/OpenFoam/OF-1706/hyStrath_dlb/run/hyStrath/dsmcFoam+/xcx_test/zb-cylinder-react/omp8/schedule_sweep_stage26_20260606/log.codex_zb_collisionSweep_move-static-64_coll-static-64_300step_20260606	/home/superxcx/code/OpenFoam/OF-1706/hyStrath_dlb/run/hyStrath/dsmcFoam+/xcx_test/zb-cylinder-react/omp8/schedule_sweep_stage26_20260606/controlDict.collisionSweep_move-static-64_coll-static-64
collisionSweep	static	64	static	128	0	82	/home/superxcx/code/OpenFoam/OF-1706/hyStrath_dlb/run/hyStrath/dsmcFoam+/xcx_test/zb-cylinder-react/omp8/schedule_sweep_stage26_20260606/log.codex_zb_collisionSweep_move-static-64_coll-static-128_300step_20260606	/home/superxcx/code/OpenFoam/OF-1706/hyStrath_dlb/run/hyStrath/dsmcFoam+/xcx_test/zb-cylinder-react/omp8/schedule_sweep_stage26_20260606/controlDict.collisionSweep_move-static-64_coll-static-128
collisionSweep	static	64	static	256	0	83	/home/superxcx/code/OpenFoam/OF-1706/hyStrath_dlb/run/hyStrath/dsmcFoam+/xcx_test/zb-cylinder-react/omp8/schedule_sweep_stage26_20260606/log.codex_zb_collisionSweep_move-static-64_coll-static-256_300step_20260606	/home/superxcx/code/OpenFoam/OF-1706/hyStrath_dlb/run/hyStrath/dsmcFoam+/xcx_test/zb-cylinder-react/omp8/schedule_sweep_stage26_20260606/controlDict.collisionSweep_move-static-64_coll-static-256
collisionSweep	static	64	dynamic	8	0	82	/home/superxcx/code/OpenFoam/OF-1706/hyStrath_dlb/run/hyStrath/dsmcFoam+/xcx_test/zb-cylinder-react/omp8/schedule_sweep_stage26_20260606/log.codex_zb_collisionSweep_move-static-64_coll-dynamic-8_300step_20260606	/home/superxcx/code/OpenFoam/OF-1706/hyStrath_dlb/run/hyStrath/dsmcFoam+/xcx_test/zb-cylinder-react/omp8/schedule_sweep_stage26_20260606/controlDict.collisionSweep_move-static-64_coll-dynamic-8
collisionSweep	static	64	dynamic	16	0	80	/home/superxcx/code/OpenFoam/OF-1706/hyStrath_dlb/run/hyStrath/dsmcFoam+/xcx_test/zb-cylinder-react/omp8/schedule_sweep_stage26_20260606/log.codex_zb_collisionSweep_move-static-64_coll-dynamic-16_300step_20260606	/home/superxcx/code/OpenFoam/OF-1706/hyStrath_dlb/run/hyStrath/dsmcFoam+/xcx_test/zb-cylinder-react/omp8/schedule_sweep_stage26_20260606/controlDict.collisionSweep_move-static-64_coll-dynamic-16
collisionSweep	static	64	dynamic	32	0	79	/home/superxcx/code/OpenFoam/OF-1706/hyStrath_dlb/run/hyStrath/dsmcFoam+/xcx_test/zb-cylinder-react/omp8/schedule_sweep_stage26_20260606/log.codex_zb_collisionSweep_move-static-64_coll-dynamic-32_300step_20260606	/home/superxcx/code/OpenFoam/OF-1706/hyStrath_dlb/run/hyStrath/dsmcFoam+/xcx_test/zb-cylinder-react/omp8/schedule_sweep_stage26_20260606/controlDict.collisionSweep_move-static-64_coll-dynamic-32
collisionSweep	static	64	dynamic	64	0	81	/home/superxcx/code/OpenFoam/OF-1706/hyStrath_dlb/run/hyStrath/dsmcFoam+/xcx_test/zb-cylinder-react/omp8/schedule_sweep_stage26_20260606/log.codex_zb_collisionSweep_move-static-64_coll-dynamic-64_300step_20260606	/home/superxcx/code/OpenFoam/OF-1706/hyStrath_dlb/run/hyStrath/dsmcFoam+/xcx_test/zb-cylinder-react/omp8/schedule_sweep_stage26_20260606/controlDict.collisionSweep_move-static-64_coll-dynamic-64
collisionSweep	static	64	dynamic	128	0	80	/home/superxcx/code/OpenFoam/OF-1706/hyStrath_dlb/run/hyStrath/dsmcFoam+/xcx_test/zb-cylinder-react/omp8/schedule_sweep_stage26_20260606/log.codex_zb_collisionSweep_move-static-64_coll-dynamic-128_300step_20260606	/home/superxcx/code/OpenFoam/OF-1706/hyStrath_dlb/run/hyStrath/dsmcFoam+/xcx_test/zb-cylinder-react/omp8/schedule_sweep_stage26_20260606/controlDict.collisionSweep_move-static-64_coll-dynamic-128
collisionSweep	static	64	dynamic	256	0	81	/home/superxcx/code/OpenFoam/OF-1706/hyStrath_dlb/run/hyStrath/dsmcFoam+/xcx_test/zb-cylinder-react/omp8/schedule_sweep_stage26_20260606/log.codex_zb_collisionSweep_move-static-64_coll-dynamic-256_300step_20260606	/home/superxcx/code/OpenFoam/OF-1706/hyStrath_dlb/run/hyStrath/dsmcFoam+/xcx_test/zb-cylinder-react/omp8/schedule_sweep_stage26_20260606/controlDict.collisionSweep_move-static-64_coll-dynamic-256
