case,mode,runs,ok_runs,real_mean,real_stdev,real_min,real_max,full_evolve_mean,full_evolve_stdev,full_evolve_min,full_evolve_max,move_collide_mean,move_collide_stdev,move_collide_min,move_collide_max,move_mean,move_stdev,move_min,move_max,build_occ_mean,build_occ_stdev,build_occ_min,build_occ_max,collision_phase_mean,collision_phase_stdev,collision_phase_min,collision_phase_max,post_mean,post_stdev,post_min,post_max,particles_mean,particles_stdev,particles_min,particles_max,collisions_mean,collisions_stdev,collisions_min,collisions_max,candidates_mean,candidates_stdev,candidates_min,candidates_max,total_energy_mean,total_energy_stdev,total_energy_min,total_energy_max,migration_wall_mean,migration_wall_stdev,migration_wall_min,migration_wall_max,particles_rank_ratio_mean,particles_rank_ratio_stdev,particles_rank_ratio_min,particles_rank_ratio_max,rank_wall_ratio_mean,rank_wall_ratio_stdev,rank_wall_ratio_min,rank_wall_ratio_max,dlb_rebalances_mean,dlb_rebalances_stdev,dlb_rebalances_min,dlb_rebalances_max,dlb_triggered_mean,dlb_triggered_stdev,dlb_triggered_min,dlb_triggered_max
zb,OMP8,1,0,10.27,0.0,10.27,10.27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
zb,MPI2xOMP4,1,0,18.56,0.0,18.56,18.56,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
zb,MPI4xOMP2,1,0,20.54,0.0,20.54,20.54,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
zb,MPI8,1,1,68.86,0.0,68.86,68.86,60.07280982,0.0,60.07280982,60.07280982,59.87423203,0.0,59.87423203,59.87423203,47.80124664,0.0,47.80124664,47.80124664,4.481004675,0.0,4.481004675,4.481004675,10.9425292,0.0,10.9425292,10.9425292,0.200262626,0.0,0.200262626,0.200262626,1960122,0.0,1960122,1960122,3450,0.0,3450,3450,6127,0.0,6127,6127,0.001957668641,0.0,0.001957668641,0.001957668641,2.552796489,0.0,2.552796489,2.552796489,1.20306091,0.0,1.20306091,1.20306091,1.297210565,0.0,1.297210565,1.297210565,5,0.0,5,5,5,0.0,5,5
zb,MPI8origin,1,1,112.45,0.0,112.45,112.45,119.9301404,0.0,119.9301404,119.9301404,119.8085284,0.0,119.8085284,119.8085284,89.49476503,0.0,89.49476503,89.49476503,10.60199903,0.0,10.60199903,10.60199903,25.83284925,0.0,25.83284925,25.83284925,0.129065759,0.0,0.129065759,0.129065759,1958119,0.0,1958119,1958119,240109,0.0,240109,240109,473837,0.0,473837,473837,0.001962255913,0.0,0.001962255913,0.001962255913,,,,,,,,,,,,,,,,,,,,
