case	mode	np	omp_threads	start	end	exit	log	controlDict
zb	OMP8	1	8	2026-06-20T22:24:22+08:00	2026-06-20T22:24:32+08:00	139	/home/superxcx/code/OpenFoam/OF-1706/hyStrath_dlb/doc/worklog/v2506/detail_mix/zb_full_series_nowrite_perf_recheck_20260620/logs/zb_OMP8.log	/home/superxcx/code/OpenFoam/OF-1706/hyStrath_dlb/doc/worklog/v2506/detail_mix/zb_full_series_nowrite_perf_recheck_20260620/controlDicts/zb_OMP8_controlDict
zb	MPI2xOMP4	2	4	2026-06-20T22:24:32+08:00	2026-06-20T22:24:51+08:00	255	/home/superxcx/code/OpenFoam/OF-1706/hyStrath_dlb/doc/worklog/v2506/detail_mix/zb_full_series_nowrite_perf_recheck_20260620/logs/zb_MPI2xOMP4.log	/home/superxcx/code/OpenFoam/OF-1706/hyStrath_dlb/doc/worklog/v2506/detail_mix/zb_full_series_nowrite_perf_recheck_20260620/controlDicts/zb_MPI2xOMP4_controlDict
zb	MPI4xOMP2	4	2	2026-06-20T22:24:51+08:00	2026-06-20T22:25:11+08:00	255	/home/superxcx/code/OpenFoam/OF-1706/hyStrath_dlb/doc/worklog/v2506/detail_mix/zb_full_series_nowrite_perf_recheck_20260620/logs/zb_MPI4xOMP2.log	/home/superxcx/code/OpenFoam/OF-1706/hyStrath_dlb/doc/worklog/v2506/detail_mix/zb_full_series_nowrite_perf_recheck_20260620/controlDicts/zb_MPI4xOMP2_controlDict
zb	MPI8	8	1	2026-06-20T22:25:12+08:00	2026-06-20T22:26:21+08:00	0	/home/superxcx/code/OpenFoam/OF-1706/hyStrath_dlb/doc/worklog/v2506/detail_mix/zb_full_series_nowrite_perf_recheck_20260620/logs/zb_MPI8.log	/home/superxcx/code/OpenFoam/OF-1706/hyStrath_dlb/doc/worklog/v2506/detail_mix/zb_full_series_nowrite_perf_recheck_20260620/controlDicts/zb_MPI8_controlDict
zb	MPI8origin	8	1	2026-06-20T22:26:21+08:00	2026-06-20T22:28:13+08:00	0	/home/superxcx/code/OpenFoam/OF-1706/hyStrath_dlb/doc/worklog/v2506/detail_mix/zb_full_series_nowrite_perf_recheck_20260620/logs/zb_MPI8origin.log	/home/superxcx/code/OpenFoam/OF-1706/hyStrath_dlb/doc/worklog/v2506/detail_mix/zb_full_series_nowrite_perf_recheck_20260620/controlDicts/zb_MPI8origin_controlDict
