case,mode,runs,ok_runs,real_mean,real_stdev,real_min,real_max,full_evolve_mean,full_evolve_stdev,full_evolve_min,full_evolve_max,move_collide_mean,move_collide_stdev,move_collide_min,move_collide_max,move_mean,move_stdev,move_min,move_max,build_occ_mean,build_occ_stdev,build_occ_min,build_occ_max,collision_phase_mean,collision_phase_stdev,collision_phase_min,collision_phase_max,post_mean,post_stdev,post_min,post_max,particles_mean,particles_stdev,particles_min,particles_max,collisions_mean,collisions_stdev,collisions_min,collisions_max,candidates_mean,candidates_stdev,candidates_min,candidates_max,total_energy_mean,total_energy_stdev,total_energy_min,total_energy_max,migration_wall_mean,migration_wall_stdev,migration_wall_min,migration_wall_max,particles_rank_ratio_mean,particles_rank_ratio_stdev,particles_rank_ratio_min,particles_rank_ratio_max,rank_wall_ratio_mean,rank_wall_ratio_stdev,rank_wall_ratio_min,rank_wall_ratio_max,dlb_rebalances_mean,dlb_rebalances_stdev,dlb_rebalances_min,dlb_rebalances_max,dlb_triggered_mean,dlb_triggered_stdev,dlb_triggered_min,dlb_triggered_max
zb,OMP8,1,1,55.83,0.0,55.83,55.83,54.22766933,0.0,54.22766933,54.22766933,54.03798847,0.0,54.03798847,54.03798847,39.66517763,0.0,39.66517763,39.66517763,3.67873105,0.0,3.67873105,3.67873105,9.59657769,0.0,9.59657769,9.59657769,0.187994673,0.0,0.187994673,0.187994673,1958108.0,0.0,1958108.0,1958108.0,241941.0,0.0,241941.0,241941.0,476956.0,0.0,476956.0,476956.0,0.001961777692,0.0,0.001961777692,0.001961777692,,,,,,,,,,,,,,,,,,,,
zb,MPI2xOMP4,1,1,63.71,0.0,63.71,63.71,62.97216272,0.0,62.97216272,62.97216272,62.7764764,0.0,62.7764764,62.7764764,41.93642129,0.0,41.93642129,41.93642129,3.626293638,0.0,3.626293638,3.626293638,10.33769966,0.0,10.33769966,10.33769966,0.194038218,0.0,0.194038218,0.194038218,1958000.0,0.0,1958000.0,1958000.0,14962.0,0.0,14962.0,14962.0,22334.0,0.0,22334.0,22334.0,0.001961458736,0.0,0.001961458736,0.001961458736,10.95253069,0.0,10.95253069,10.95253069,1.201456919,0.0,1.201456919,1.201456919,1.005486968,0.0,1.005486968,1.005486968,2.0,0.0,2.0,2.0,2.0,0.0,2.0,2.0
zb,MPI4xOMP2,1,1,66.48,0.0,66.48,66.48,64.76137685,0.0,64.76137685,64.76137685,64.55291475,0.0,64.55291475,64.55291475,43.71533272,0.0,43.71533272,43.71533272,3.361171684,0.0,3.361171684,3.361171684,11.08143132,0.0,11.08143132,11.08143132,0.217398326,0.0,0.217398326,0.217398326,1957676.0,0.0,1957676.0,1957676.0,7939.0,0.0,7939.0,7939.0,12238.0,0.0,12238.0,12238.0,0.001961835791,0.0,0.001961835791,0.001961835791,19.17681631,0.0,19.17681631,19.17681631,1.206028526,0.0,1.206028526,1.206028526,1.010391618,0.0,1.010391618,1.010391618,2.0,0.0,2.0,2.0,2.0,0.0,2.0,2.0
zb,MPI8,1,1,87.31,0.0,87.31,87.31,83.77292007,0.0,83.77292007,83.77292007,83.53996813,0.0,83.53996813,83.53996813,53.53770524,0.0,53.53770524,53.53770524,7.711840711,0.0,7.711840711,7.711840711,10.60772277,0.0,10.60772277,10.60772277,0.249907136,0.0,0.249907136,0.249907136,1958523.0,0.0,1958523.0,1958523.0,25129.0,0.0,25129.0,25129.0,42795.0,0.0,42795.0,42795.0,0.001961839782,0.0,0.001961839782,0.001961839782,23.11189639,0.0,23.11189639,23.11189639,1.235394888,0.0,1.235394888,1.235394888,1.00995355,0.0,1.00995355,1.00995355,5.0,0.0,5.0,5.0,5.0,0.0,5.0,5.0
