case,mode,np,omp_threads,start,end,exit,log,controlDict,expected_iterations,log_exists,bad_markers,end_main,real,user,sys,iterations,collisions,candidates,particles,stuck,total_energy,move_collide,move,build_occ,collision_phase,post,full_evolve,openmp_enabled,openmp_threads_reported,migration_calls,migration_wall,dlb_checks,dlb_rebalances,dlb_triggered,dlb_wall_max,dlb_check_max,parmetis_max,dlb_migration_max,particles_rank_min,particles_rank_max,particles_rank_ratio,rank_wall_steps,rank_wall_min,rank_wall_max,rank_wall_ratio,correctness_ok
zb,OMP8,1,8,2026-06-22T06:31:42+08:00,2026-06-22T06:32:38+08:00,0,/home/superxcx/code/OpenFoam/OF-1706/hyStrath_dlb/doc/worklog/v2506/detail_mix/zb_4mode_300step_capture_guard_20260622/logs/zb_OMP8.log,/home/superxcx/code/OpenFoam/OF-1706/hyStrath_dlb/doc/worklog/v2506/detail_mix/zb_4mode_300step_capture_guard_20260622/controlDicts/zb_OMP8_controlDict,300,True,,True,55.83,423.76,2.57,300,241941,476956,1958108,0,0.001961777692,54.03798847,39.66517763,3.67873105,9.59657769,0.187994673,54.22766933,1,8,,,,,,,,,,,,,,,,,True
zb,MPI2xOMP4,2,4,2026-06-22T06:32:38+08:00,2026-06-22T06:33:42+08:00,0,/home/superxcx/code/OpenFoam/OF-1706/hyStrath_dlb/doc/worklog/v2506/detail_mix/zb_4mode_300step_capture_guard_20260622/logs/zb_MPI2xOMP4.log,/home/superxcx/code/OpenFoam/OF-1706/hyStrath_dlb/doc/worklog/v2506/detail_mix/zb_4mode_300step_capture_guard_20260622/controlDicts/zb_MPI2xOMP4_controlDict,300,True,,True,63.71,481.71,7.71,300,14962,22334,1958000,0,0.001961458736,62.7764764,41.93642129,3.626293638,10.33769966,0.194038218,62.97216272,1,4,303,10.95253069,300,2,2,1.157999613,0.170831019,0.337254147,0.677982249,889411.0,1068589.0,1.201456919,300,225.99,227.23,1.005486968,True
zb,MPI4xOMP2,4,2,2026-06-22T06:33:44+08:00,2026-06-22T06:34:50+08:00,0,/home/superxcx/code/OpenFoam/OF-1706/hyStrath_dlb/doc/worklog/v2506/detail_mix/zb_4mode_300step_capture_guard_20260622/logs/zb_MPI4xOMP2.log,/home/superxcx/code/OpenFoam/OF-1706/hyStrath_dlb/doc/worklog/v2506/detail_mix/zb_4mode_300step_capture_guard_20260622/controlDicts/zb_MPI4xOMP2_controlDict,300,True,,True,66.48,485.49,21.98,300,7939,12238,1957676,0,0.001961835791,64.55291475,43.71533272,3.361171684,11.08143132,0.217398326,64.76137685,1,2,303,19.17681631,300,2,2,0.914064836,0.258053812,0.181510554,0.553166356,442264.0,533383.0,1.206028526,300,116.44,117.65,1.010391618,True
zb,MPI8,8,1,2026-06-22T06:34:52+08:00,2026-06-22T06:36:19+08:00,0,/home/superxcx/code/OpenFoam/OF-1706/hyStrath_dlb/doc/worklog/v2506/detail_mix/zb_4mode_300step_capture_guard_20260622/logs/zb_MPI8.log,/home/superxcx/code/OpenFoam/OF-1706/hyStrath_dlb/doc/worklog/v2506/detail_mix/zb_4mode_300step_capture_guard_20260622/controlDicts/zb_MPI8_controlDict,300,True,,True,87.31,605.14,79.51,300,25129,42795,1958523,0,0.001961839782,83.53996813,53.53770524,7.711840711,10.60772277,0.249907136,83.77292007,0,1,306,23.11189639,300,5,5,1.155196413,0.337242151,0.188815357,0.681027337,222987.0,275477.0,1.235394888,300,75.35,76.1,1.00995355,True
