case	mode	np	omp_threads	start	end	exit	log	controlDict
zb	OMP8	1	8	2026-06-22T01:10:50+08:00	2026-06-22T01:11:46+08:00	0	/home/superxcx/code/OpenFoam/OF-1706/hyStrath_dlb/doc/worklog/v2506/detail_mix/zb_full_series_300step_retest_20260622/logs/zb_OMP8.log	/home/superxcx/code/OpenFoam/OF-1706/hyStrath_dlb/doc/worklog/v2506/detail_mix/zb_full_series_300step_retest_20260622/controlDicts/zb_OMP8_controlDict
zb	MPI2xOMP4	2	4	2026-06-22T01:11:47+08:00	2026-06-22T01:12:50+08:00	0	/home/superxcx/code/OpenFoam/OF-1706/hyStrath_dlb/doc/worklog/v2506/detail_mix/zb_full_series_300step_retest_20260622/logs/zb_MPI2xOMP4.log	/home/superxcx/code/OpenFoam/OF-1706/hyStrath_dlb/doc/worklog/v2506/detail_mix/zb_full_series_300step_retest_20260622/controlDicts/zb_MPI2xOMP4_controlDict
zb	MPI4xOMP2	4	2	2026-06-22T01:12:51+08:00	2026-06-22T01:13:58+08:00	0	/home/superxcx/code/OpenFoam/OF-1706/hyStrath_dlb/doc/worklog/v2506/detail_mix/zb_full_series_300step_retest_20260622/logs/zb_MPI4xOMP2.log	/home/superxcx/code/OpenFoam/OF-1706/hyStrath_dlb/doc/worklog/v2506/detail_mix/zb_full_series_300step_retest_20260622/controlDicts/zb_MPI4xOMP2_controlDict
zb	MPI8	8	1	2026-06-22T01:13:59+08:00	2026-06-22T01:15:40+08:00	0	/home/superxcx/code/OpenFoam/OF-1706/hyStrath_dlb/doc/worklog/v2506/detail_mix/zb_full_series_300step_retest_20260622/logs/zb_MPI8.log	/home/superxcx/code/OpenFoam/OF-1706/hyStrath_dlb/doc/worklog/v2506/detail_mix/zb_full_series_300step_retest_20260622/controlDicts/zb_MPI8_controlDict
zb	MPI8origin	8	1	2026-06-22T01:15:46+08:00	2026-06-22T01:17:41+08:00	0	/home/superxcx/code/OpenFoam/OF-1706/hyStrath_dlb/doc/worklog/v2506/detail_mix/zb_full_series_300step_retest_20260622/logs/zb_MPI8origin.log	/home/superxcx/code/OpenFoam/OF-1706/hyStrath_dlb/doc/worklog/v2506/detail_mix/zb_full_series_300step_retest_20260622/controlDicts/zb_MPI8origin_controlDict
