case,mode,runs,ok_runs,real_mean,real_stdev,real_min,real_max,full_evolve_mean,full_evolve_stdev,full_evolve_min,full_evolve_max,move_collide_mean,move_collide_stdev,move_collide_min,move_collide_max,move_mean,move_stdev,move_min,move_max,build_occ_mean,build_occ_stdev,build_occ_min,build_occ_max,collision_phase_mean,collision_phase_stdev,collision_phase_min,collision_phase_max,post_mean,post_stdev,post_min,post_max,particles_mean,particles_stdev,particles_min,particles_max,collisions_mean,collisions_stdev,collisions_min,collisions_max,candidates_mean,candidates_stdev,candidates_min,candidates_max,total_energy_mean,total_energy_stdev,total_energy_min,total_energy_max,migration_wall_mean,migration_wall_stdev,migration_wall_min,migration_wall_max,particles_rank_ratio_mean,particles_rank_ratio_stdev,particles_rank_ratio_min,particles_rank_ratio_max,rank_wall_ratio_mean,rank_wall_ratio_stdev,rank_wall_ratio_min,rank_wall_ratio_max,dlb_rebalances_mean,dlb_rebalances_stdev,dlb_rebalances_min,dlb_rebalances_max,dlb_triggered_mean,dlb_triggered_stdev,dlb_triggered_min,dlb_triggered_max
zb,OMP8,1,1,55.63,0.0,55.63,55.63,53.3658076,0.0,53.3658076,53.3658076,53.19267088,0.0,53.19267088,53.19267088,38.97499565,0.0,38.97499565,38.97499565,3.708762175,0.0,3.708762175,3.708762175,9.411415829,0.0,9.411415829,9.411415829,0.171868147,0.0,0.171868147,0.171868147,1958045.0,0.0,1958045.0,1958045.0,242022.0,0.0,242022.0,242022.0,476947.0,0.0,476947.0,476947.0,0.001961594386,0.0,0.001961594386,0.001961594386,,,,,,,,,,,,,,,,,,,,
zb,MPI2xOMP4,1,1,63.37,0.0,63.37,63.37,61.66285358,0.0,61.66285358,61.66285358,61.46968655,0.0,61.46968655,61.46968655,39.57517033,0.0,39.57517033,39.57517033,3.399736015,0.0,3.399736015,3.399736015,8.282683501,0.0,8.282683501,8.282683501,0.191693456,0.0,0.191693456,0.191693456,1957803.0,0.0,1957803.0,1957803.0,226828.0,0.0,226828.0,226828.0,446087.0,0.0,446087.0,446087.0,0.001961603538,0.0,0.001961603538,0.001961603538,11.07015234,0.0,11.07015234,11.07015234,1.209293508,0.0,1.209293508,1.209293508,1.002493766,0.0,1.002493766,1.002493766,2.0,0.0,2.0,2.0,2.0,0.0,2.0,2.0
zb,MPI4xOMP2,1,1,67.16,0.0,67.16,67.16,65.58061612,0.0,65.58061612,65.58061612,65.37347687,0.0,65.37347687,65.37347687,40.77646026,0.0,40.77646026,40.77646026,3.331142364,0.0,3.331142364,3.331142364,13.18686966,0.0,13.18686966,13.18686966,0.279341598,0.0,0.279341598,0.279341598,1958016.0,0.0,1958016.0,1958016.0,7685.0,0.0,7685.0,7685.0,11092.0,0.0,11092.0,11092.0,0.001961771767,0.0,0.001961771767,0.001961771767,8.160518345,0.0,8.160518345,8.160518345,1.16054925,0.0,1.16054925,1.16054925,1.014136081,0.0,1.014136081,1.014136081,2.0,0.0,2.0,2.0,2.0,0.0,2.0,2.0
zb,MPI8,1,1,101.03,0.0,101.03,101.03,100.5629204,0.0,100.5629204,100.5629204,100.302545,0.0,100.302545,100.302545,64.50605634,0.0,64.50605634,64.50605634,8.423694771,0.0,8.423694771,8.423694771,14.37305628,0.0,14.37305628,14.37305628,0.287944654,0.0,0.287944654,0.287944654,1958230.0,0.0,1958230.0,1958230.0,3933.0,0.0,3933.0,3933.0,6003.0,0.0,6003.0,6003.0,0.001961259054,0.0,0.001961259054,0.001961259054,17.55807837,0.0,17.55807837,17.55807837,1.185353937,0.0,1.185353937,1.185353937,1.025485573,0.0,1.025485573,1.025485573,5.0,0.0,5.0,5.0,5.0,0.0,5.0,5.0
zb,MPI8origin,1,1,114.59,0.0,114.59,114.59,122.6528657,0.0,122.6528657,122.6528657,122.5321141,0.0,122.5321141,122.5321141,91.29871076,0.0,91.29871076,91.29871076,10.73484958,0.0,10.73484958,10.73484958,26.52483258,0.0,26.52483258,26.52483258,0.130868931,0.0,0.130868931,0.130868931,1957709.0,0.0,1957709.0,1957709.0,240256.0,0.0,240256.0,240256.0,473849.0,0.0,473849.0,473849.0,0.001962235744,0.0,0.001962235744,0.001962235744,,,,,,,,,,,,,,,,,,,,
